label,rank,token,mean_importance,median_importance,frequency,avg_probability,weighted_importance
emotion_appeal,1,nation,0.099265,0.106798,4,0.52131625,0.15976085437777096
emotion_appeal,2,today,0.10976966666666665,0.134288,3,0.526516,0.15217306992201
emotion_appeal,3,better,0.06959966666666667,0.057605,3,0.5208349999999999,0.09648562543582402
emotion_appeal,4,world,0.05962075,0.035454,3,0.5175655,0.08265190953073871
emotion_appeal,5,people,0.029551,0.0328725,4,0.5189837500000001,0.0475604997503401
presumption,1,world,0.02360025,0.021971,4,0.5367965,0.03798313709292288
rhetorical_framing,1,people,0.040461000000000004,0.033449,5,0.4880112,0.07249637988443634
rhetorical_framing,2,free,0.03491525,0.033628,4,0.477988,0.05619392707211472
rhetorical_framing,3,job,0.011552333333333333,0.012219,3,0.47059199999999995,0.01601493455777735
