label,token,mean_importance,frequency,frequency_pct,weighted_importance
authority_appeal,year,0.10002214285714285,6.0,0.037037037037037035,0.1946341029159747
authority_appeal,jobs,0.14016466666666666,3.0,0.018518518518518517,0.19430948702824907
authority_appeal,work,0.07387116666666667,12.0,0.07407407407407407,0.18947580147660076
authority_appeal,economy,0.08899199999999999,6.0,0.037037037037037035,0.17317043598473042
authority_appeal,tonight,0.11950366666666667,3.0,0.018518518518518517,0.16566725923315104
authority_appeal,century,0.09974350000000001,4.0,0.024691358024691357,0.1605309704188707
authority_appeal,workers,0.09601025,4.0,0.024691358024691357,0.15452253633227608
authority_appeal,country,0.062341,10.0,0.06172839506172839,0.14948718920152324
authority_appeal,effort,0.10717566666666667,3.0,0.018518518518518517,0.148577022349265
authority_appeal,questions,0.08952,4.0,0.024691358024691357,0.14407688192110066
authority_appeal,working,0.0765604,5.0,0.030864197530864196,0.13717782166788758
authority_appeal,strength,0.09729566666666667,3.0,0.018518518518518517,0.13488043406140052
authority_appeal,shall,0.09061233333333334,3.0,0.018518518518518517,0.1256153667479159
authority_appeal,friends,0.09059266666666665,3.0,0.018518518518518517,0.12558810295881387
authority_appeal,america,0.053839222222222226,9.0,0.05555555555555555,0.12396939050728267
authority_appeal,face,0.07377349999999999,4.0,0.024691358024691357,0.11873386783295709
authority_appeal,families,0.0651476,5.0,0.030864197530864196,0.11672882919748163
authority_appeal,office,0.0719335,4.0,0.024691358024691357,0.11577250207407835
authority_appeal,future,0.071386,4.0,0.024691358024691357,0.11489133481702068
authority_appeal,rights,0.08196966666666666,3.0,0.018518518518518517,0.11363408668287706
authority_appeal,people,0.049243777777777775,9.0,0.05555555555555555,0.11338798863382257
authority_appeal,support,0.05805385714285714,6.0,0.037037037037037035,0.112967589806093
authority_appeal,make,0.053082285714285714,7.0,0.043209876543209874,0.1103815100416038
authority_appeal,help,0.047770111111111103,9.0,0.05555555555555555,0.10999474573511367
authority_appeal,week,0.07739033333333334,3.0,0.018518518518518517,0.10728578270518871
