label,f1,precision,recall,average_precision,support
emotion_appeal,0.5217391304347826,0.40540540540540543,0.7317073170731707,0.5573657054798912,41
authority_appeal,0.14925373134328357,0.08196721311475409,0.8333333333333334,0.2311731367143738,6
polarization,0.11864406779661017,0.06363636363636363,0.875,0.33319817634046,8
presumption,0.3176470588235294,0.1888111888111888,1.0,0.33778454317209783,27
exaggeration,0.09375,0.05454545454545454,0.3333333333333333,0.0885714508174551,9
rhetorical_framing,0.6956521739130435,0.5333333333333333,1.0,0.6127022406220695,80
