label,f1,precision,recall,average_precision,support
emotion_appeal,0.5043478260869565,0.3918918918918919,0.7073170731707317,0.4752949676491458,41
authority_appeal,0.42857142857142855,0.375,0.5,0.247875816993464,6
polarization,0.17142857142857143,0.1111111111111111,0.375,0.41255826017663305,8
presumption,0.5098039215686274,0.5416666666666666,0.48148148148148145,0.4854443254717806,27
exaggeration,0.2222222222222222,0.14814814814814814,0.4444444444444444,0.08132637602370257,9
rhetorical_framing,0.7395833333333334,0.6339285714285714,0.8875,0.8198596661999478,80
