label,DistilBERT_f1,DistilBERT_precision,DistilBERT_recall,Dummy_f1,Dummy_precision,Dummy_recall,TF-IDF + LR_f1,TF-IDF + LR_precision,TF-IDF + LR_recall,TF-IDF + SVM_f1,TF-IDF + SVM_precision,TF-IDF + SVM_recall
emotion_appeal,0.6087,0.4828,0.8235,0.0,0.0,0.0,0.5938,0.4935,0.7451,0.5612,0.4432,0.7647
authority_appeal,0.4,0.3077,0.5714,0.0,0.0,0.0,0.2,0.3333,0.1429,0.3077,0.3333,0.2857
polarization,0.2472,0.1429,0.9167,0.0,0.0,0.0,0.1111,0.1667,0.0833,0.1,0.125,0.0833
presumption,0.3409,0.2055,1.0,0.0,0.0,0.0,0.5352,0.4634,0.6333,0.5,0.4706,0.5333
exaggeration,0.1029,0.0551,0.7778,0.0,0.0,0.0,0.1765,0.12,0.3333,0.0,0.0,0.0
rhetorical_framing,0.7395,0.5867,1.0,0.7395,0.5867,1.0,0.798,0.7043,0.9205,0.804,0.7207,0.9091
--- MICRO AVG ---,0.35916134913400183,,,0.5072,,,0.6164,,,0.6188,,
--- MACRO AVG ---,0.321803248010013,,,0.1232,,,0.4024,,,0.3788,,
