model,run_name,result_dir,micro_f1,macro_f1,samples_f1,micro_precision,micro_recall,macro_average_precision,subset_accuracy,hamming_loss
distilbert,distilbert_20260408_200943,results\distilbert_20260408_200943,0.39790575916230364,0.3161143603852082,0.3395661375661375,0.2563237774030354,0.8888888888888888,0.3601325421910579,,0.5111111111111111
dummy,dummy_20260408_200920,results\dummy_20260408_200920,0.47665056360708535,0.23834271523391734,0.39165079365079364,0.3288888888888889,0.8654970760233918,0.19000000000000003,,0.3611111111111111
logreg_tfidf,logreg_tfidf_20260408_200921,results\logreg_tfidf_20260408_200921,0.5553047404063205,0.4293262172018566,0.38066666666666665,0.4522058823529412,0.7192982456140351,0.4203932354191123,,0.21888888888888888
svm_tfidf,svm_tfidf_20260408_200923,results\svm_tfidf_20260408_200923,0.5589041095890411,0.3796191138629479,0.36882539682539683,0.5257731958762887,0.5964912280701754,0.3797302366390372,,0.17888888888888888
