model,micro_f1_mean,micro_f1_std,micro_f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,samples_f1_mean,samples_f1_std,samples_f1_count,micro_precision_mean,micro_precision_std,micro_precision_count,micro_recall_mean,micro_recall_std,micro_recall_count,macro_average_precision_mean,macro_average_precision_std,macro_average_precision_count,subset_accuracy_mean,subset_accuracy_std,subset_accuracy_count,hamming_loss_mean,hamming_loss_std,hamming_loss_count,macro_f1_uplift_vs_dummy,micro_f1_uplift_vs_dummy
logreg_tfidf,0.5553047404063205,,1,0.4293262172018566,,1,0.38066666666666665,,1,0.4522058823529412,,1,0.7192982456140351,,1,0.4203932354191123,,1,,,0,0.21888888888888888,,1,0.19098350196793926,0.07865417679923514
svm_tfidf,0.5589041095890411,,1,0.3796191138629479,,1,0.36882539682539683,,1,0.5257731958762887,,1,0.5964912280701754,,1,0.3797302366390372,,1,,,0,0.17888888888888888,,1,0.14127639862903055,0.08225354598195578
distilbert,0.39790575916230364,,1,0.3161143603852082,,1,0.3395661375661375,,1,0.2563237774030354,,1,0.8888888888888888,,1,0.3601325421910579,,1,,,0,0.5111111111111111,,1,0.07777164515129084,-0.07874480444478171
dummy,0.47665056360708535,,1,0.23834271523391734,,1,0.39165079365079364,,1,0.3288888888888889,,1,0.8654970760233918,,1,0.19000000000000003,,1,,,0,0.3611111111111111,,1,0.0,0.0
